EMPLOYER_NAME,SOC_NAME,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,WAGE_RATE_OF_PAY_FROM,CASE_STATUS,diff_wage_prevailing
IPOLARITY LLC,COMPUTER OCCUPATION,1,1,63274,71000,CERTIFIED,7726
NEW YORK MART GROUP INC,COMPUTER OCCUPATION,1,0,47590.4,48880,CERTIFIED,1289.6
ETOUCH SYSTEMS CORPORATION,COMPUTER OCCUPATION,1,1,77085,120000,CERTIFIED,42915
PYRAMID TECHNOLOGY SOLUTIONS INC,COMPUTER OCCUPATION,1,1,43576,53726,CERTIFIED,10150
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,81682,125407,CERTIFIED,43725
TEMPLE UNIVERSITY A COMMONWEALTH UNIVERSITY,FINANCE,1,1,67642,112397.16,CERTIFIED,44755.16
DELOITTE and TOUCHE LLP,COMPUTER OCCUPATION,15,1,55765,63000,CERTIFIED,7235
E GIANTS TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,53165,68000,CERTIFIED,14835
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,78957,83000,CERTIFIED,4043
CAPGEMINI AMERICA INC,ANALYSTS,1,1,80995,81000,CERTIFIED,5
IBM INDIA PRIVATE LIMITED,COMPUTER OCCUPATION,1,1,72654,74825,CERTIFIED,2171
NEOTECH SOLUTIONS INC,COMPUTER OCCUPATION,1,1,75795,76000,CERTIFIED,205
BTS SOFTWARE LABS INC,ACCOUNTANTS,1,1,47154,60000,CERTIFIED,12846
ICONSOFT INC,COMPUTER OCCUPATION,1,1,84947,90000,CERTIFIED,5053
INNOCORE SOLUTIONS INC,COMPUTER OCCUPATION,1,1,85197,90000,CERTIFIED,4803
LUCID TECHNOLOGIES INC,ACCOUNTANTS,1,1,58510,70000,CERTIFIED,11490
ALLIANCE CULTURAL MEDIA INC,ANALYSTS,1,0,46592,47840,CERTIFIED,1248
ENOVA TECHNOLOGY SOLUTIONS,COMPUTER OCCUPATION,1,1,54662,60000,CERTIFIED,5338
BENDIX COMMERCIAL VEHICLE SYSTEMS LLC,ANALYSTS,1,1,94786,116390,CERTIFIED,21604
LAWRENCE LIVERMORE NATIONAL SECURITY LLC,COMPUTER OCCUPATION,1,1,77043,90240,CERTIFIED,13197
QUINNOX INC,MATHEMATICIANS AND STATISTICIANS,1,1,52166,69000,CERTIFIED,16834
NEXUS IT INC,COMPUTER OCCUPATION,1,1,66518,67000,CERTIFIED,482
ALTEN TECHNOLOGY USA INC,ANALYSTS,1,1,69701,70000,CERTIFIED,299
QUEEN PALM INVESTMENT INC,COMPUTER OCCUPATION,1,1,32323,32400,CERTIFIED,77
WIPRO LIMITED,MARKETING,5,1,60000,60000,CERTIFIED,0
SAPIENT CORPORATION,DOCTORS,1,1,78083,100000,CERTIFIED,21917
NORGATE TECHNOLOGY,COMPUTER OCCUPATION,1,1,110635.2,114400,CERTIFIED,3764.8
DBC ENTERPRISE INC,COMPUTER OCCUPATION,1,1,68598,74263,CERTIFIED,5665
VOX ASTRA INC,MANAGERS,1,1,52166,60000,CERTIFIED,7834
NEW YORK UNIVERSITY,COMPUTER OCCUPATION,1,1,62360,110000,CERTIFIED,47640
RJTECHGLOBAL INC,COMPUTER OCCUPATION,1,1,61547,70000,CERTIFIED,8453
COMPUTER AID INC,ANALYSTS,1,1,75816,85000,CERTIFIED,9184
EQUINOX IT SOLUTIONS LLC,COMPUTER OCCUPATION,1,1,60798,60798,CERTIFIED,0
TEKVISTA INC,MATHEMATICIANS AND STATISTICIANS,1,1,93205,100000,CERTIFIED,6795
EZE CASTLE SOFTWARE LLC AN EZE SOFTWARE GROUP COMPANY,COMPUTER OCCUPATION,1,1,88067,88067,CERTIFIED,0
YALE UNIVERSITY,MANAGERS,1,1,41434,50316,CERTIFIED,8882
TALENT IT SERVICES INC,DOCTORS,1,1,68557,90000,CERTIFIED,21443
INNROAD INC,COMPUTER OCCUPATION,1,1,104936,113000,CERTIFIED,8064
SOFTWARE PROGRAMMING GROUP LLC,ENGINEERS,1,1,64813,65000,CERTIFIED,187
OM PARTNERS USA,COMPUTER OCCUPATION,1,1,72862,85000,CERTIFIED,12138
ITECH US INC,COMPUTER OCCUPATION,1,1,84864,85000,CERTIFIED,136
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,65416,69221,CERTIFIED,3805
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COMPUTER OCCUPATION,1,1,66976,66976,CERTIFIED,0
ITVORKS INC,LAB TECHNICIANS,1,1,56285,60000,CERTIFIED,3715
VIRTUSA CORPORATION,MANAGERS,1,1,76211,80000,CERTIFIED,3789
REALNETWORKS INC,COMPUTER OCCUPATION,1,1,85654,85750,CERTIFIED,96
COMSCORE INC,ANALYSTS,1,1,72925,80000,CERTIFIED,7075
CLEAR LAM PACKAGING INC,COACHES AND SCOUTS,1,1,61339,83500,CERTIFIED,22161
AILERON CONSULTING LLC,ANALYSTS,1,1,90646,105000,CERTIFIED,14354
DPR CONSTRUCTION A GENERAL PARTNERSHIP,COMPUTER OCCUPATION,1,1,91894,95000,CERTIFIED,3106
SPECTRAFORCE TECHNOLOGIES INC,ENGINEERS,1,1,93205,102000,CERTIFIED,8795
TATA CONSULTANCY SERVICES LIMITED,COMPUTER OCCUPATION,1,1,58261,60100,CERTIFIED,1839
BLIZZARD ENTERTAINMENT INC,ANALYSTS,1,1,63690,82992,CERTIFIED,19302
RELIABLE ANALYSIS INC,DESIGNERS,1,1,62650,62650,CERTIFIED,0
GALLUP INC,COMPUTER OCCUPATION,1,1,51376,90000,CERTIFIED,38624
NAUTO INC,COMPUTER OCCUPATION,1,1,102107,120000,CERTIFIED,17893
SYNCHRONISYS INC,COMPUTER OCCUPATION,1,0,54641.6,66560,CERTIFIED,11918.4
MACDONALD MILLER FACILITY SOLUTIONS INC,COMPUTER OCCUPATION,1,1,63066,65000,CERTIFIED,1934
AMERICAN AIRLINES INC,ANALYSTS,1,1,54309,59592,CERTIFIED,5283
KHOJ INFORMATION TECHNOLOGY INC,COMPUTER OCCUPATION,1,1,56638,70000,CERTIFIED,13362
KYRO4 SOLUTIONS INC,COMPUTER OCCUPATION,1,1,78957,80000,CERTIFIED,1043
ALPHA NET CONSULTING LLC,ANALYSTS,1,1,76835,77000,CERTIFIED,165
ETEST IT INC,EDUCATION,1,1,52166,75000,CERTIFIED,22834
DELOITTE andAMP TOUCHE LLP,ANALYSTS,15,1,55931,90000,CERTIFIED,34069
SYSTEM SOFT TECHNOLOGIES LLC,DOCTORS,1,1,70741,80000,CERTIFIED,9259
WIPRO LIMITED,LIBRARIANS,10,1,85738,85738,CERTIFIED,0
FNR SOLUTIONS INC,COMPUTER OCCUPATION,1,1,62754,65000,CERTIFIED,2246
AMPSTEK LLC,ANALYSTS,1,1,64813,66000,CERTIFIED,1187
MASTECH DIGITAL ALLIANCES INC A MASTECH DIGITAL INC COMPANY,COMPUTER OCCUPATION,6,1,86840,86840,CERTIFIED,0
PALO ALTO NETWORKS INC,COMPUTER OCCUPATION,1,1,102149,115000,CERTIFIED,12851
PNR SOFTWARE SOLUTIONS CORPORATION,COMPUTER OCCUPATION,1,1,56576,62000,CERTIFIED,5424
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,COMPUTER OCCUPATION,1,1,40800,43696.8,CERTIFIED,2896.8
AEGON USA REALTY ADVISORS LLC,COMPUTER OCCUPATION,1,1,96699,96699,CERTIFIED,0
XAVIENT INFORMATION SYSTEMS INC,MATHEMATICIANS AND STATISTICIANS,1,1,59467,74000,CERTIFIED,14533
VIRTUSA CORPORATION,FINANCE,1,1,97802,140000,CERTIFIED,42198
GLOBAL TECHNICAL SOFTWARE SERVICES INC,COMPUTER OCCUPATION,1,1,74090,74090,CERTIFIED,0
DATA RECOGNITION CORPORATION,COMPUTER OCCUPATION,1,1,39811.2,41600,CERTIFIED,1788.8
PROTOCOL INFOTECH INC DUNS 830803735,DOCTORS,1,1,65021,66000,CERTIFIED,979
TATA CONSULTANCY SERVICES LIMITED,FINANCE,1,1,69597,69597,CERTIFIED,0
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,57533,65000,CERTIFIED,7467
BTS SOFTWARE LABS INC,ANALYSTS,1,1,76835,76835,CERTIFIED,0
BARCLAYS SERVICES CORP,COMPUTER OCCUPATION,1,1,104936,107100,CERTIFIED,2164
CONNVERTEX TECHNOLOGIES INC,ANALYSTS,1,1,78998,79000,CERTIFIED,2
KMC INC,COMPUTER OCCUPATION,1,1,97926,132000,CERTIFIED,34074
VEDICSOFT SOLUTIONS LLC,LAWYERS AND LEGAL SUPPORT WORKERS,1,1,77917,90813,CERTIFIED,12896
COMPUGAIN LLC,COMPUTER OCCUPATION,1,1,63315,128000,CERTIFIED,64685
XAVIENT INFORMATION SYSTEMS INC,MARKETING,1,1,66186,72000,CERTIFIED,5814
RAB LIGHTING INC,COMPUTER OCCUPATION,1,1,61069,65000,CERTIFIED,3931
CAPGEMINI AMERICA INC,COMPUTER OCCUPATION,1,1,70034,70100,CERTIFIED,66
BATTELLE MEMORIAL INSTITUTE,ANALYSTS,1,1,49109,76000,CERTIFIED,26891
BURGER KING CORPORATION,ANALYSTS,1,1,89336,115000,CERTIFIED,25664
SUNLAND WALNUT MONTESSORI PRESCHOOL INC,COMPUTER OCCUPATION,1,1,40720,40720,CERTIFIED,0
BMO HARRIS BANK NA,MATHEMATICIANS AND STATISTICIANS,1,1,90584,105000,CERTIFIED,14416
CYIENT INC,COMPUTER OCCUPATION,25,1,46093,46093,CERTIFIED,0
VERTECH INDUSTRIAL SYSTEMS LLC,LAB TECHNICIANS,1,1,62546,63000,CERTIFIED,454
NEWRACOM INC,COMPUTER OCCUPATION,1,1,65894,65894,CERTIFIED,0
DOUBLEBLAZE CONSULTING LLC F/K/A HALEAKALA CONSULTING PARTNERS LLC,COMPUTER OCCUPATION,1,1,67101,75000,CERTIFIED,7899
ALPHAVISTA SERVICES INC,ANALYSTS,1,1,54558,60000,CERTIFIED,5442
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,59322,60000,CERTIFIED,678
ECHOSTAR TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,83928,83928,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,104811,104811,CERTIFIED,0
DISCOVER VIDEO LLC,COMPUTER OCCUPATION,1,1,97136,100000,CERTIFIED,2864
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,73091,80884,CERTIFIED,7793
ECHOTECH SOFTWARE SOLUTIONS,ANALYSTS,1,1,57637,62000,CERTIFIED,4363
NYCHHC HARLEM HOSPITAL CENTER,COMPUTER OCCUPATION,1,1,71724,71724,CERTIFIED,0
TECHWAVE CONSULTING INC,ENGINEERS,1,1,55349,60000,CERTIFIED,4651
REVEREIT LLC,EDUCATION,1,1,48900.8,72800,CERTIFIED,23899.2
TATA CONSULTANCY SERVICES LIMITED,ANALYSTS,1,1,57491,62500,CERTIFIED,5009
EMERGTECH BUSINESS SOLUTIONS INC,COMPUTER OCCUPATION,1,1,64813,64813,CERTIFIED,0
HUNTER DOUGLAS INC,COMPUTER OCCUPATION,1,1,91624,110000,CERTIFIED,18376
THE METHODIST HOSPITAL,COMPUTER OCCUPATION,1,1,92997,108392.54,CERTIFIED,15395.54
ARROW ELECTRONICS INC,ANALYSTS,1,1,120058,137966.89,CERTIFIED,17908.89
GAVS TECHNOLOGIES NA INC,ENGINEERS,1,1,45656,45656,CERTIFIED,0
CYBAGE SOFTWARE INC,ANALYSTS,1,1,57533,77000,CERTIFIED,19467
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,74547,84383,CERTIFIED,9836
ALLY BANK,ANALYSTS,1,1,94640,100000,CERTIFIED,5360
THIRTHASOFTLLC,COMPUTER OCCUPATION,1,1,63669,64800,CERTIFIED,1131
ADVANTECS GROUP INC,ANALYSTS,1,1,52125,75000,CERTIFIED,22875
NEW YORK UNIVERSITY HOSPITALS CENTER,COMPUTER OCCUPATION,1,1,39270,82036,CERTIFIED,42766
KATALYST TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,58510,65000,CERTIFIED,6490
UBER TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,136573,136573,CERTIFIED,0
APRIO LLP,ANALYSTS,1,1,47902,61000,CERTIFIED,13098
HARVARD UNIVERSITY,COMPUTER OCCUPATION,1,1,125790,130000,CERTIFIED,4210
CUBE WORKS INC,ACCOUNTANTS,1,1,69098,72000,CERTIFIED,2902
BEYONDSOFT CONSULTING INC,ECONOMISTS,1,1,106101,112320,CERTIFIED,6219
GREGORY SCOTT HOOVER PLLC,COMPUTER OCCUPATION,1,1,69971.2,70033.6,CERTIFIED,62.4
CORE SOFTWARE TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,65978,66000,CERTIFIED,22
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,62754,63012,CERTIFIED,258
WASHINGTON MATH SCIENCE TECHNOLOGY PUBLIC CHARTER SCHOOL,MATHEMATICIANS AND STATISTICIANS,1,1,46770,67000,CERTIFIED,20230
BANK OF AMERICA NA,SCIENTIST,1,1,91541,120000,CERTIFIED,28459
ATOS IT SOLUTIONS AND SERVICES INC,ANALYSTS,1,1,53165,60000,CERTIFIED,6835
GOOGLE INC,COMPUTER OCCUPATION,1,1,94619,95000,CERTIFIED,381
NVESTTECH INC,COMPUTER OCCUPATION,1,1,34882,60000,CERTIFIED,25118
MCKESSON CORPORATION,ACCOUNTANTS,1,1,96907,120000,CERTIFIED,23093
TATA CONSULTANCY SERVICES LIMITED,ENTERTAINMENT,1,1,71781,71781,CERTIFIED,0
WIPRO LIMITED,ACCOUNTANTS,5,1,61818,61818,CERTIFIED,0
CAPODAGLI PROPERTY COMPANY LLC,ANALYSTS,1,1,63211,70000,CERTIFIED,6789
KFORCE INC,MARKETING,10,1,63252.8,64480,CERTIFIED,1227.2
KDK ACCOUNTING PC,COMPUTER OCCUPATION,1,0,49649.6,49649.6,CERTIFIED,0
ILEAF STYLE CORP,COMPUTER OCCUPATION,1,1,50523.2,50523.2,CERTIFIED,0
DELPHI CORPORATION,COMPUTER OCCUPATION,1,1,60424,60424,CERTIFIED,0
TECH MAHINDRA AMERICASINC,COMPUTER OCCUPATION,1,1,94620,94620,CERTIFIED,0
ROCKWELL AUTOMATION INC,COMPUTER OCCUPATION,1,1,76627,79600,CERTIFIED,2973
CAPGEMINI AMERICA INC,MATHEMATICIANS AND STATISTICIANS,1,1,45136,60000,CERTIFIED,14864
UPTHERE INC,IT MANAGERS,1,1,130603,130603,CERTIFIED,0
NORIDIAN HEALTHCARE SOLUTIONS,COMPUTER OCCUPATION,1,1,38458,41564,CERTIFIED,3106
SYNOPSYS INC,EDUCATION,1,1,139339,139339,CERTIFIED,0
SQA CONCEPTS INC,MARKETING,1,1,66518,67000,CERTIFIED,482
ELECTRONIC DATA PROFESSIONAL INC,COMPUTER OCCUPATION,1,1,71718,85371.84,CERTIFIED,13653.84
LILAX TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,69597,78000,CERTIFIED,8403
TECH MAHINDRA AMERICASINC,ENGINEERS,1,1,63295,63295,CERTIFIED,0
ARISTON TEK INC,MATHEMATICIANS AND STATISTICIANS,1,1,71531,90000,CERTIFIED,18469
ASTA CRS INC,ANALYSTS,1,1,64500.8,66560,CERTIFIED,2059.2
SKANSKA USA BUILDING INC,ENGINEERS,1,1,60757,61000,CERTIFIED,243
RSM TECHNOLOGY SOLUTIONS INC,COMPUTER OCCUPATION,1,1,62754,75000,CERTIFIED,12246
CAREMARK LLC,COMPUTER OCCUPATION,1,1,92373,115687,CERTIFIED,23314
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,116875,120165,CERTIFIED,3290
CAPRUS IT INC,SCIENTIST,1,1,52166,70000,CERTIFIED,17834
RANDSTAD TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,71698,90000,CERTIFIED,18302
ZILLOW INC,MARKETING,1,1,96138,143400,CERTIFIED,47262
CAPGEMINI AMERICA INC,COMPUTER OCCUPATION,3,1,61318,70100,CERTIFIED,8782
NORMAN A ELIOT and CO PA,COMPUTER OCCUPATION,1,1,44637,46000,CERTIFIED,1363
IBM CORPORATION,COMPUTER OCCUPATION,1,1,106870,106870,CERTIFIED,0
VEDICSOFT SOLUTIONS LLC,MANAGERS,1,1,66997,70221,CERTIFIED,3224
CLIENT NETWORK SERVICES INC,ANALYSTS,1,1,51667,85000,CERTIFIED,33333
PROSPECT INFOSYS INC,COMPUTER OCCUPATION,1,1,64168,64168,CERTIFIED,0
NATIONAL GRID USA SERVICE COMPANY INC,COMPUTER OCCUPATION,1,1,68390,83070,CERTIFIED,14680
ENIAC SYSTEMS INC,COMPUTER OCCUPATION,1,1,70221,70500,CERTIFIED,279
AMAZON CORPORATE LLC,COMPUTER OCCUPATION,1,1,105955,115000,CERTIFIED,9045
SERVIONT GLOBAL SOLUTIONS INC,MARKETING,1,1,88483,102000,CERTIFIED,13517
ERP ANALYSTS INC,ANIMAL HUSBANDARY,1,1,70803,72322,CERTIFIED,1519
ALLSCRIPTS HEALTHCARE LLC,ANALYSTS,1,1,83138,91227.84,CERTIFIED,8089.84
HERMES MICROVISION INC,COMPUTER OCCUPATION,1,1,85654,85654,CERTIFIED,0
VORTALSOFT INC,MARKETING,1,1,65083,65500,CERTIFIED,417
CHARTER COMMUNICATIONS INC,ANALYSTS,1,1,69222,69222,CERTIFIED,0
FRANCISCAN MISSIONARIES OF OUR LADY HEALTH SYSTEM,COMPUTER OCCUPATION,1,1,38002,50336.42,CERTIFIED,12334.42
AMAZON CORPORATE LLC,ANALYSTS,1,1,106371,123500,CERTIFIED,17129
LETS BREAKTHROUGH INC,COMPUTER OCCUPATION,1,1,38771,50000,CERTIFIED,11229
PRONIX INC,COMPUTER OCCUPATION,1,1,58282,60000,CERTIFIED,1718
THE UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER,ANALYSTS,1,1,47611,95000,CERTIFIED,47389
INDO WELSH COMPANY INC,COMPUTER OCCUPATION,1,1,58198,70000,CERTIFIED,11802
WOLFNET TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,60778,60778,CERTIFIED,0
EXPEDIA INC,COMPUTER OCCUPATION,1,1,116459,116459,CERTIFIED,0
AVI TECHNOLOGIES INC,ANALYSTS,1,1,85862,86000,CERTIFIED,138
NETWORK OBJECTS INC,COMPUTER OCCUPATION,1,1,79331,85197,CERTIFIED,5866
CAPGEMINI AMERICA INC,ANALYSTS,3,1,79518,79600,CERTIFIED,82
DR LANE and ASSOCIATES DDS PA,COMPUTER OCCUPATION,1,1,139485,140000,CERTIFIED,515
TATA CONSULTANCY SERVICES LIMITED,ENGINEERS,1,1,63024,63024,CERTIFIED,0
SECURVIEW INC,DOCTORS,1,1,64813,65000,CERTIFIED,187
AUTODESK INC,ANALYSTS,1,1,108410,108410,CERTIFIED,0
NEWT GLOBAL CONSULTING LLC,COMPUTER OCCUPATION,1,1,62379,63100,CERTIFIED,721
TECH TAMMINA LLC,ANIMAL HUSBANDARY,1,1,83304,98000,CERTIFIED,14696
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,94619,94619,CERTIFIED,0
GOOGLE INC,COMPUTER OCCUPATION,1,1,102149,112000,CERTIFIED,9851
UST GLOBAL INC,IT MANAGERS,1,1,58282,58282,CERTIFIED,0
PRICEWATERHOUSECOOPERS LLP,ANALYSTS,1,1,74600,74600,CERTIFIED,0
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,ANALYSTS,30,1,63274,63274,CERTIFIED,0
LandT TECHNOLOGY SERVICES LIMITED,COMPUTER OCCUPATION,1,1,55390,63000,CERTIFIED,7610
AKAMAI TECHNOLOGIES INC,ANALYSTS,1,1,111200,111200,CERTIFIED,0
PERFECTVIPS INC,COMPUTER OCCUPATION,1,1,101608,110000,CERTIFIED,8392
EMINENT SERVICES CORPORATION,COMPUTER OCCUPATION,1,1,54662,60000,CERTIFIED,5338
LOGAN DATA INC,COMPUTER OCCUPATION,1,1,58240,58240,CERTIFIED,0
PLATINUM EMPIRE GROUP INC,COMPUTER OCCUPATION,10,1,62379,62500,CERTIFIED,121
SOFTPRENEURS INC,COMPUTER OCCUPATION,1,1,72800,72800,CERTIFIED,0
MRIGLOBAL,COMPUTER OCCUPATION,1,1,93205,97975,CERTIFIED,4770
JRD SYSTEMS INC,COMPUTER OCCUPATION,1,1,60000,60000,CERTIFIED,0
IBM CORPORATION,COMPUTER OCCUPATION,1,1,85197,109554,CERTIFIED,24357
TEXAS AandM ENGINEERING EXPERIMENT STATION,ENGINEERS,1,1,44970,47500,CERTIFIED,2530
ARTHUR LAWRENCE US LLC,ANALYSTS,1,1,54392,54400,CERTIFIED,8
GOOGLE INC,COMPUTER OCCUPATION,1,1,105010,115000,CERTIFIED,9990
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,53165,66648,CERTIFIED,13483
THE SHERWIN WILLIAMS COMPANY,ENGINEERS,1,1,82784,90000,CERTIFIED,7216
SELECTIVA SYSTEMS INC,EDUCATION,1,1,94619,96000,CERTIFIED,1381
SOUTHERN METHODIST UNIVERSITY,FINANCE,1,1,41470,50000,CERTIFIED,8530
OPPENHEIMER and CO INC,COMPUTER OCCUPATION,1,1,65749,65749,CERTIFIED,0
FUYAO GLASS AMERICA INC,ENGINEERS,1,1,49837,49837,CERTIFIED,0
LAUREL SCHOOL DISTRICT,COMPUTER OCCUPATION,1,1,41993,45150,CERTIFIED,3157
MU SIGMA INC,COMPUTER OCCUPATION,1,1,96325,97290,CERTIFIED,965
DELOITTE and TOUCHE LLP,COMPUTER OCCUPATION,15,1,59218,83200,CERTIFIED,23982
BASIC SOLUTIONS CORP,ANALYSTS,1,1,95388.8,108160,CERTIFIED,12771.2
LARSEN and TOUBRO INFOTECH LIMITED,COMPUTER OCCUPATION,1,1,63794,86712,CERTIFIED,22918
CHILDRENS HOSPITAL CORPORATION,ANALYSTS,1,1,82701,87125,CERTIFIED,4424
DATA WAREHOUSE LABS INC,COMPUTER OCCUPATION,1,1,35859,60000,CERTIFIED,24141
CIGNA HEALTHCARE OF ARIZONA,COMPUTER OCCUPATION,1,1,72987,84100,CERTIFIED,11113
GUIDANZ INC,COMPUTER OCCUPATION,1,1,53165,65000,CERTIFIED,11835
STOCKPILE INC,ENGINEERS,1,1,124675,125000,CERTIFIED,325
TESLA INC,ENGINEERS,1,1,96429,100000,CERTIFIED,3571
VALIANTICA INC,ANALYSTS,1,1,107182.4,124800,CERTIFIED,17617.6
VWR INTERNATIONAL LLC,MARKETING,1,1,54912,85700,CERTIFIED,30788
DEPT OF MEDICINE MEDICAL SVC GRP AT SUNY HSC AT SYRACUSE INC,COMPUTER OCCUPATION,1,1,111423,140969,CERTIFIED,29546
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,65042,72855,CERTIFIED,7813
EXUSIA INC,COMPUTER OCCUPATION,1,1,74006,85500,CERTIFIED,11494
TBWA WORLDHEALTH NEW YORK INC,COMPUTER OCCUPATION,1,1,38771,47000,CERTIFIED,8229
NISUM TECHNOLOGIES INC,COMPUTER OCCUPATION,1,1,122949,145000,CERTIFIED,22051
FULLSCREEN INC,COMPUTER OCCUPATION,1,1,79477,79477,CERTIFIED,0
FMR LLC,COMPUTER OCCUPATION,1,1,100200,100200,CERTIFIED,0
PROKARMA INC,COMPUTER OCCUPATION,1,1,92435,115000,CERTIFIED,22565
STEVEN WINTER ASSOCIATES INC,ENGINEERS,1,1,58386,62000,CERTIFIED,3614
MEDEANALYTICS INC,COMPUTER OCCUPATION,1,1,62754,62754,CERTIFIED,0
STELLIUM INC,ENGINEERS,1,1,63274,65000,CERTIFIED,1726
WORLD WIDE FABRIC INC,MANAGERS,1,1,63086.4,67995.2,CERTIFIED,4908.8
TATA CONSULTANCY SERVICES LIMITED,COMPUTER OCCUPATION,1,1,61318,62500,CERTIFIED,1182
SVB FINANCIAL GROUP,ENGINEERS,1,1,117770,117770,CERTIFIED,0
CHENOA INFORMATION SERVICES INC,COMPUTER OCCUPATION,1,1,114317,144000,CERTIFIED,29683
TEK LEADERS INC,EDUCATION,1,1,64813,64813,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,78957,78957,CERTIFIED,0
MAGNA INFOTECH LTD,COMPUTER OCCUPATION,1,1,79414,125000,CERTIFIED,45586
MICROSOFT CORPORATION,COMPUTER OCCUPATION,1,1,105955,137587,CERTIFIED,31632
ACCENTURE LLP,ANALYSTS,1,1,86902,91000,CERTIFIED,4098
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,60133,79019,CERTIFIED,18886
TUSKER SOLUTIONS INC,COMPUTER OCCUPATION,1,1,80205,90000,CERTIFIED,9795
LERA TECHNOLOGIES LLC,COMPUTER OCCUPATION,1,1,65541,66000,CERTIFIED,459
CAPGEMINI AMERICA INC,ANALYSTS,1,1,55910,60000,CERTIFIED,4090
DEER ISLE GROUP LLC,COMPUTER OCCUPATION,1,1,46675,46675,CERTIFIED,0
COLLABERA INC,COMPUTER OCCUPATION,5,1,56638,60000,CERTIFIED,3362
