,date,statement,label
34,"Apr 27, 2019","Rep. Rashida Tlaib Says After 9/11, She Feared Americans, Not Terrorists",fake
35,"Apr 26, 2019",PRO-ILLEGAL ALIEN Group Plans March To DEMAND MI Drivers Licenses Ahead Of 2020 Election,fake
36,"Apr 24, 2019",STATE POLICE Sergeant DESTROYS Liberal Snowflakes Who Try To Shame Him For Pulling Over A “Brown” Person [VIDEO],fake
37,"Apr 24, 2019",PRESIDENT TRUMP WARNS DEMS: I am “breaking down” and “draining the swamp”! [Video],fake
38,"Apr 23, 2019",THINGS GET UGLY On “The View” When Whoopi Takes On Meghan McCain Over Bernie Sanders’ Terrorists Should Be Allowed To Vote Remarks,fake
39,"Apr 23, 2019",CHILLING VIDEO Shows Sri Lanka Suicide Bomber Patting Little Girl On Head Just Before Blowing Up Church Full Of Christians,fake
40,"Apr 23, 2019",NEVADA DEM IS FURIOUS: BLASTS BIDEN for Making Jokes About ‘Permission’ to Hug [Video],fake
41,"Apr 22, 2019",GOLD! COMEDIAN Uses Facts and Documents to Show the Origins of the Clinton-Podesta Trump Collusion Narrative,fake
42,"Apr 22, 2019",MAXINE WATERS Attacks Lindsey Graham: “Now in Bed With The President” [Video],fake
43,"Apr 22, 2019",MARK LEVIN Warns of New Political Battle for “The tens of millions of Americans who voted for President Trump”,fake
44,"Apr 22, 2019",MARK LEVIN: Part Two Of Mueller Report Is “Crap”…Was Written For ‘Slip-and-Fall Lawyer Nadler’ [Video],fake
45,"Apr 21, 2019",BREAKING: Sri Lanka Airport On Lockdown After Pipe Bomb Discovered,fake
46,"Apr 21, 2019",MSNBC REPORTER Ambushes Mueller After Easter Church Services: “If he were anybody but the president would Mr. Trump be indicted?”,fake
47,"Apr 20, 2019",FLORIDA MUSLIM IMMIGRANT Running for FL House Seat Says America is “Run on Hate”…Americans are “Uneducated” [Video],fake
48,"Apr 19, 2019",WATCH: TRUMP GREETED by Huge Crowd of Jubilant Supporters in Florida,fake
49,"Apr 19, 2019",WATCH: President Trump Surprises Church Group Doing Disaster Relief [Video],fake
50,"Apr 18, 2019",GOOD MORNING AMERICA…Not Just Some Fluff Morning Show: Compares Jussie Smollett Fake Hate Crime Exoneration To “No Collusion” Decision On Trump,fake
51,"Apr 18, 2019",JUST IN: MUELLER REPORT REVEALS Why Wikileaks’ Julian Assange Feared “Sadistic Sociopath” Hillary Presidency,fake
52,"Apr 17, 2019",RASHIDA TLAIB Hosted EXTREMIST Anti-Israel Activist In Congressional Office,fake
53,"Apr 17, 2019","PELOSI HUMILIATED: Incredible Moment Pelosi Admits She Has No Idea What Omar Said About 9-11, But Condemns Trump For Tweeting About It [VIDEO]",fake
54,"Apr 17, 2019",WATCH: TRIPLE AMPUTEE VETERAN CROSSES Wide Open U.S.-MEXICO Border In Wheelchair,fake
55,"Apr 16, 2019",MICHELLE OBAMA Goes Low Against Trump…Triggering A Dose Of Karma From Divorced Dads,fake
56,"Apr 16, 2019",BRETT BAIR Forgot To Ask Bernie About His Creepy “Rape Fantasy” Essay [Video],fake
57,"Apr 16, 2019",PELOSI TAKES SWIPE AT OCASIO-CORTEZ: ‘Glass of Water’ with a ‘D’ Could Win in Her District [Video],fake
58,"Apr 14, 2019","MARK MEADOWS EXPECTS “Criminal Referrals” In FBI Spying, Leaks to Media [Video]",fake
59,"Apr 14, 2019",DEM NADLER Just Fine With Rep. Ilhan Omar Trivializing 9/11 as “Some People Did Something”,fake
60,"Apr 14, 2019","DEM AL GREEN TO BANK CEOs: “If one among you happens to be something other than a white male, would you kindly extend a hand into the air?” [Video]",fake
61,"Apr 13, 2019","DETROIT: ACTOR BEN STILLER Helps Crooked Hillary, Sexual Predator Bill Pander For Cash In Same State Hillary Ignored In 2016 [VIDEO]",fake
62,"Apr 12, 2019",WATCH THE BEST Trump Impression Ever! [Video],fake
63,"Apr 12, 2019",WATCH THE BEST Trump Impression Ever! [Video],fake
64,"Apr 11, 2019",“I HOPE HE ROTS IN HELL”…MEGHAN MCCAIN On Assange Arrest [Video],fake
65,"Apr 11, 2019","SIRIUS XM Host, MSNBC Contributor, Mark Thompson Caught On VIDEO PUNCHING Black Man In Face For Asking Why He Puts Trump-Russian Collusion Ahead Of Real Black Issues",fake
66,"Apr 11, 2019","TOP NFL DRAFT PICK Deletes Pro-Trump, Conservative Social Media Posts To Avoid Being Penalized In Upcoming Draft",fake
67,"Apr 11, 2019",NY LAWMAKERS VOTE DOWN Bill To Give Free Tuition To Children Of Military Members Killed In Line of Duty Only ONE WEEK After Voting To Give Illegal Aliens Free College Tuition,fake
68,"Apr 10, 2019",NANCY PELOSI Accuses AG William Barr Of “Going Off The Rails” For His Truthful Testimony [Video],fake
69,"Apr 10, 2019",JUST IN: AG BARR Confirms “I think spying did occur” On Trump Campaign Under Obama [Video],fake
70,"Apr 10, 2019",RASHIDA TLAIB And Her Friends….FRIGHTENING Evidence Ties Friends Of US Congresswoman To Extreme Terrorists,fake
71,"Apr 10, 2019",WATCH: Treasury Secretary Mnuchin Fires Back At A Huffy Maxine Waters In Epic Back And Forth [Video],fake
72,"Apr 9, 2019",WATCH: CANDACE OWENS SAVAGES Dem Rep Ted Lieu After He Plays Edited Audio To Make Her Look Like A Hitler Supporter,fake
73,"Apr 9, 2019",BACKFIRE! AG William Barr Destroys Democrats Trying To Grill Him On The Mueller Report [Video],fake
74,"Apr 9, 2019",GREEN PARTY MEMBER Who Threatened Senator Susan Collins Gets A Big Dose of Karma,fake
75,"Apr 8, 2019",GROUP CALLED ‘Restore Public Trust’ Tries To Blacklist Former Trump Officials From Getting Jobs,fake
76,"Apr 7, 2019",BREAKING: President Trump Announces Nielsen is Leaving the DHS…Announces a Replacement,fake
77,"Apr 7, 2019",WATCH How Dems and Media Coordinate To Create Fake News Claiming “Cover Up” By Trump [Video],fake
78,"Apr 6, 2019",HARRY REID GETS BAD NEWS After He Attempts To Make Exercise Equipment Co Pay For Ending His Corrupt Career [VIDEO],fake
79,"Apr 4, 2019","EPIC FAIL FOR THE WOMAN WHO HARASSED MAGA-Hat-Wearing Man: “If you see him in this hat, please confront him.” [Video]",fake
80,"Apr 4, 2019",WATCH: TRUMP POSTS HILARIOUS Video Of Joe Biden Groping Joe Biden,fake
81,"Apr 4, 2019",53-Yr-OLD NC MAN ARRESTED For Cruelty and Abandonment Of Pet Fish,fake
82,"Apr 4, 2019",MS-13 GANG MEMBER Previously Deported For Fatal Stabbing Finds His Way Back To New York,fake
83,"Apr 3, 2019",BREAKING: OCASIO-CORTEZ Gets Hit With FEC Complaint of ‘Subsidy Scheme’,fake
84,"Apr 2, 2019",BREAKING: Two More Women Accuse Joe Biden Of Unwanted Touching,fake
85,"Apr 2, 2019",‘THE VIEW’ Women Defend Joe Biden…Criticize and Doubt His Accusers [Video],fake
86,"Apr 2, 2019",SEN LINDSEY GRAHAM Warns Officials Who Signed FISA Warrant to Spy on Trump Campaign [Video],fake
87,"Apr 2, 2019",JAMES CLAPPER OUTS OBAMA: Responsible For Trump Russia Investigation [Video],fake
88,"Mar 31, 2019",KELLYANNE CONWAY ON BIDEN: “If anybody just types in “Creepy Uncle Joe Videos” you come up with a treasure trove.” [Video],fake
89,"Mar 30, 2019",BREAKING: TRUMP CUTS Off Aid To 3 Foreign Invader Nations,fake
90,"Mar 30, 2019",WATCH: OCASIO-CORTEZ Claims Analysts “Just wave a wand” to Decide Cost of Green New Deal [Video],fake
91,"Mar 29, 2019",JOE BIDEN RESPONDS To Intimate Touching… “Big Slow Kiss” Accusation By Democrat Activist,fake
92,"Mar 29, 2019",NOT SO FUNNY ACTOR Ben Stiller Threatens To Boycott Georgia If They Ban Abortion After Baby Has A Heartbeat,fake
93,"Mar 29, 2019",BREAKING: Nevada Democrat Speaks Out On Joe Biden Groping Her in 2014 : “I felt him get closer to me from behind.”,fake
94,"Mar 29, 2019",GUT-WRENCHING: DEMOCRATS Replace POW Flags With Transgender Pride Flags Outside Congressional Offices,fake
95,"Mar 28, 2019",JUST IN: ANGRY ADAM SCHIFF RANTS at GOP Committee Members Who Just Called for Him to Step Down [Video],fake
96,"Mar 27, 2019","WATCH: ANTI-SEMITE With Terror Ties, Close Friend Of Rashida Tlaib, Compares JEWS To NAZIS From Bullhorn Outside DC AIPAC Conference",fake
97,"Mar 26, 2019",HILARIOUS! SARAH SANDERS Tweets “MUELLER MADNESS” Bracket: “Which of the angry and hysterical Trump haters got it most embarrassingly wrong?”,fake
98,"Mar 25, 2019",JUST IN: SEN LINDSEY GRAHAM Drops The Mic With Call For NEW Special Counsel [Video],fake
99,"Mar 25, 2019",PRICELESS: NADLER HECKLED Mid-Interview By Fed Up American: “You guys are a bunch of losers!” [Video],fake
100,"Mar 24, 2019",WATCH: Maxine Has A Meltdown Over The Mueller Report Results: “This is not the end of anything!” [Video],fake
101,"Mar 24, 2019",BREAKING: AG BARR Releases Mueller Report Summary,fake
102,"Mar 23, 2019",KID ROCK TWEETS THANKS TO TRUMP AFTER GOLF… Epic Photo! Look At Those Pants!,fake
103,"Mar 22, 2019",ADAM SCHIFF THREATENS To Subpoena Mueller After Announcement Of End Of Russia Probe,fake
104,"Mar 22, 2019",JUST IN: Former CLINTON and Obama Advisor FOUND DEAD Only Months Before Release Of His New Book,fake
105,"Mar 22, 2019",REPUBLICAN SENATOR DISINVITED FROM GOP DINNER After Vote Against Trump On Border Crisis,fake
106,"Mar 21, 2019",NEWLY RELEASED CLINTON EMAILS Contradict Clinton Email Testimony…Expose A Fear Of Israel,fake
107,"Mar 21, 2019",TRUMP IS RIGHT! TWITTER Engineer Explains How They Write Algorithms To Delete Trump Followers: You look for keywords like “Trump” or “America”,fake
108,"Mar 21, 2019",WATCH: DRAG QUEEN In Thigh-High Boots SPREADS LEGS In Face Of 2-Yr-Old Boy During Table Dance,fake
109,"Mar 21, 2019",JUST IN: Trump Holds Colleges Accountable for Free Speech in Bold Move,fake
110,"Mar 20, 2019",TEEN IDOL ARIANA GRANDE Sets Up Voter Registration Booths At Concerts As Democrats Push For 16 and 17-Yr-Old Voters,fake
111,"Mar 19, 2019",SEN LIZ WARREN Says Ditch The Electoral College…This One Photo Explains Why Warren Is Wrong,fake
112,"Mar 18, 2019",BREAKING: Rep. Devin Nunes Sues Twitter For $250 MILLION For Censoring Conservatives,fake
113,"Mar 18, 2019",MUSLIM Foreign Policy Analyst Shocks CNN Host When She Defends Trump Over Untrue “Islamophobia” Accusations,fake
114,"Mar 18, 2019",TRUMP CALLS OUT “LOW I.Q.” JOE BIDEN For Accidentally Revealing His Plan To Run [Video],fake
115,"Mar 17, 2019",FINALLY! TRUMP TWEETS Calling Out Fox News Sunday Anchors “Trained By CNN?”,fake
116,"Mar 16, 2019",WATCH: JOE BIDEN Stages Gaffe…Claims to Be the “Most Progressive of Anybody Running” [Video],fake
117,"Mar 15, 2019",SENIOR DEM STRATEGIST Pushes For Socialism In America: “Democracy should mean taking power and wealth from those who hoard it and making sure it belongs to everyone”,fake
118,"Mar 14, 2019",JUST IN: Peter Strzok Admits Mueller Never Investigated His Bias Against Trump After Hate-Filled Texts Were Revealed,fake
119,"Mar 13, 2019",ROSEANNE BARR Is Back And Her First Target Is Michelle Obama,fake
120,"Mar 12, 2019",CNN CLINTON CRONY Calls Jared and Ivanka “Cockroaches” On Air…THIS is CNN [Video],fake
121,"Mar 12, 2019","HOLLYWOOD HYPOCRITE Caught Up In MASSIVE Cheating, Bribery Scandal With Top Colleges and CA Admissions “Consultant”",fake
122,"Mar 12, 2019",WATCH: “TWINKIE” Republican Senator MITT ROMNEY Blows Out Candles On Birthday Cake In Most Bizarre Way,fake
123,"Mar 11, 2019",BREAKING: Nancy Pelosi Says Trying To Impeach Trump Is “Just Not Worth It ”,fake
124,"Mar 11, 2019",PRESIDENT TRUMP Just Won 2020 With This One Tweet,fake
125,"Mar 10, 2019",WATCH: Maria Bartiromo and Tom Fitton On “Get Trump Conspiracy” [Video],fake
126,"Mar 10, 2019",CNN Hires Token Conservative…Demotes Her After Leftist Outrage,fake
127,"Mar 10, 2019",KARMA? Experts Warn…SOCIALIST NEW YORK CITY Is Careening Toward Bankruptcy,fake
128,"Mar 9, 2019",HYPOCRITE RASHIDA TLAIB: Demands We “Push Back Against Corporate Greed”…Voted To Approve $1.03 BILLION In Corporate Handouts As MI Lawmaker,fake
129,"Mar 8, 2019","WATCH: PRESIDENT TRUMP Visits Alabama To Support Deadly Tornado Victims, Survey Damage",fake
130,"Mar 8, 2019",JUST IN: HOUSE Democrats Vote To Allow ILLEGAL IMMIGRANTS To Vote In Elections,fake
131,"Mar 8, 2019",WATCH: President Trump Rips Democrats: “Democrats have become an anti-Israel party” [Video],fake
132,"Mar 8, 2019",THINGS GET UGLY On The House Floor When Jewish Rep. Zeldin Goes Scorched Earth On Anti-Semite Ilhan Omar And Dems Who Support Her,fake
133,"Mar 7, 2019",KARMA? JEWISH MILLENNIALS Are Walking Away From Democrat Party,fake
134,"Mar 7, 2019",DEMOCRAT DEFENDS Anti-Semitic Comments From Muslim Rep. Omar: “She comes from a different culture” [Video],fake
135,"Mar 7, 2019",GREENPEACE FOUNDER Obliterates “Pompous Twit” Ocasio-Cortez: “You Would Bring About Mass Death”,fake
136,"Mar 6, 2019",WATCH: DYING MAN and Devout Trump Supporter Gets Surprise Phone Call From President Trump,fake
137,"Mar 6, 2019",LEFTIST THUG WHO SUCKER-PUNCHED Conservative Student On UC Berkeley Campus CHARGED With THREE FELONIES,fake
138,"Mar 5, 2019",OCASIO-CORTEZ Admits She Tosses Plastic Bags…What ‘Green New Deal’? [Video],fake
139,"Mar 4, 2019","JUST IN: NANCY PELOSI, Top Dems Will Take Action On House Floor To Address NEW Anti-Semitic Remarks By Ilhan Omar",fake
140,"Mar 4, 2019",MUST WATCH: Four Black Conservatives Debate Four Black Liberals About President Trump,fake
141,"Mar 4, 2019",WATCH: Shocking Video Surfaces Of Teen Wearing MAGA Gear On ‘USA Day’ Being Kicked Out Of School,fake
142,"Mar 3, 2019",WATCH: Kamala Harris Claims She Had No Idea Top Aide Of 14 Years Was Accused Of Sexual Harassment [Video],fake
143,"Mar 3, 2019","WATCH: Teens Told To Leave School, Face Suspension Over Wearing MAGA Gear On ‘USA Day’ [Video]",fake
144,"Mar 2, 2019",REPORT: RADICAL DEM Rep Rashida Tlaib Caught Dipping Into Campaign Funds To Pay Herself After Election,fake
145,"Mar 1, 2019",MUSLIM LAWMAKER Ilhan Omar Admits She Only Started Wearing A Hijab After 9-11,fake
146,"Mar 1, 2019",LYNNE PATTON Reveals Shocking Reason Michael Cohen Turned On Trump,fake
147,"Mar 1, 2019",WATCH: Trump Honors Shocked Bronze Star Hero During Stopover [Video],fake
148,"Mar 1, 2019",PRESIDENT TRUMP TWEETS: “Must Watch” Tucker Carlson Opening…Here It Is! [Video],fake
149,"Feb 28, 2019",DEM ILHAN OMAR SMILES When Audience Member Cheers For Her Anti-Semitic Rhetoric [Video],fake
150,"Feb 28, 2019",WATCH: OHIO DEMOCRAT Gives AWESOME Answer When Asked If He Plans To Vote For Trump Again In 2020,fake
151,"Feb 28, 2019",JUST IN: Major Bust Of Huge Atlanta-Based Mexican Drug Ring Highlights Need For National Emergency At The Border [Video],fake
152,"Feb 28, 2019",HANOI SUMMIT ENDS WITH NO DEAL After One Sticking Point: “Sometimes You Have To Walk” [Video],fake
153,"Feb 27, 2019",JUST IN: Cohen Slapped With Criminal Referral Mid-Testimony Over FARA Violation [Video],fake
154,"Feb 27, 2019",JUST IN: Surprise Guest Shows At Cohen Hearing To Slam Him On Claim Of Racism By Trump [Video],fake
155,"Feb 27, 2019",PRESIDENT TRUMP Meets Kim Jong Un For Peace…Petty Democrats and Media Try Everything To Distract,fake
156,"Feb 26, 2019",REPUBLICAN MATT GAETZ Goes Hardcore On Michael Cohen “Do your wife and kids know about your girlfriends?”,fake
157,"Feb 26, 2019",THINGS GET UGLY On “The View” When Meghan McCain Reveals EVERY Democrat Presidential Candidate Voted For Letting Born Alive Babies DIE [VIDEO],fake
158,"Feb 26, 2019","TRUMP SUPPORTER Attacked For Wearing MAGA Hat, Carrying Trump Flag [Video]",fake
159,"Feb 26, 2019",BREAKING NEWS On Consumer Confidence Is Bad News For Democrats,fake
160,"Feb 25, 2019",LOL! JAMES WOODS WRECKS Chelsea Clinton After She Whines About Grandma Not Having Access To Abortion Provider,fake
161,"Feb 25, 2019",BREAD LINE BERNIE BUSTED: New Evidence Reveals STUNNING Amount Spent On Private Jet Travel Over Past 2 Years,fake
162,"Feb 25, 2019",WATCH OCASIO-CORTEZ: “Scientific Consensus” Says “Life will Be Hard” For Kids In The Future [Video],fake
163,"Feb 25, 2019",JUST IN: ‘Dirty’ Harry Reid Surfaces To Bash Trump…The President Hits Back [Video],fake
164,"Feb 24, 2019",HILARIOUS! TRUMP UNITY BRIDGE Triggers Outrage From Left [VIDEO],fake
165,"Feb 23, 2019",WATCH: ISIS BRIDES With Knockoff Designer Bags Bussed Out Of Iraq With Terrorist Husbands After US Coalition Forces End Their Reign of Terror,fake
166,"Feb 23, 2019",OCASIO-CORTEZ: Americans Need to Cut Down on Burgers to Reduce ‘Cow Farts’ [Video],fake
167,"Feb 22, 2019",OUTRAGEOUS! Former GOP Chair Says Trump “Probably Not Happy” FBI Stopped “White Nationalist” Killer [Video],fake
168,"Feb 22, 2019",JUST IN: PATRIOTS OWNER Busted In Florida Prostitution Sting,fake
169,"Feb 22, 2019","TRUMP-SUPPORTING VICTIM Of Violent, Leftist Thug On UC Berkeley Campus Appears On Hannity Show [VIDEO]",fake
170,"Feb 21, 2019","TOUCHING MOMENT: PRESIDENT TRUMP Introduces First Woman To Be Released Under New Criminal Justice Reform Act, 55-year-Old Grandmother Catherine Tone",fake
171,"Feb 21, 2019","WATCH: Video Clips Of Celebrities, Politicians, News Anchors Defending Jussie Smollett [Video]",fake
172,"Feb 21, 2019",WATCH: BLACK YOUTHS ATTACK Gay Conservative For Standing On Corner With Trump Sign,fake
173,"Feb 21, 2019",JUST IN: MOB SCENE At Chicago Court As Jussie Smollett Is Seen For First Time In Public Since Being Charged [VIDEO],fake
174,"Feb 21, 2019",REAL VIOLENCE CAUGHT ON CAMERA: Student Recruiting For Conservative Turning Point USA On UC Berkeley Campus PUNCHED IN FACE By Leftist Thug,fake
175,"Feb 20, 2019",ANTI-TRUMP ‘SNOWFLAKES’ Say Plow Driver Splashed Them On Purpose…Twitter Has A Field Day!,fake
176,"Feb 20, 2019",WATCH: Maxine Waters Screams At Trump Supporter…Whips Up Crowd Against Him: “Stop this fake president!” [Video],fake
177,"Feb 20, 2019",BERNIE SANDERS Was Kicked Out Of Hippie Commune Because He Was Too Lazy,fake
178,"Feb 19, 2019",BERNIE SANDERS: Breadlines Are A ‘Good Thing’ [Video],fake
179,"Feb 19, 2019",JIM JORDAN OUTS ANDREW MCCABE: “He tries to make himself out to be a Boy Scout.” [Video],fake
180,"Feb 19, 2019",WATCH: Former High-Ranking FBI Officials Fire Back At Andrew McCabe [Video],fake
181,"Feb 18, 2019",JUST IN: TRUMP SLAMS “Deranged” McCabe After 60 Minutes Interview Exposes Rogue Intel Agencies [Video],fake
182,"Feb 17, 2019",REHEARSED? Nigerian Brothers Tell Of Payoff And Rehearsal Of Jussie Smollett Hate Hoax,fake
183,"Feb 17, 2019",WATCH: CHRIS WALLACE Shut Down By Brilliant Trump Immigration Adviser Stephen Miller [Video],fake
184,"Feb 16, 2019","HERE THEY ARE! HATEFUL, ACCUSATORY TWEETS By DEMOCRAT 2020 Presidential Hopefuls And Friends Over Jussie Smollett Hoax",fake
185,"Feb 16, 2019",WATCH: MSNBC PANEL PANICS Over Socialist Ocasio-Cortez: Going to get Trump reelected [Video],fake
186,"Feb 15, 2019",WATCH: ANGEL MOM Lost Daughter To Illegal…Confronts Her Congresswoman Who Walks Away Smiling [Video],fake
187,"Feb 14, 2019","McConnell: President Trump Will Call A State Of Emergency To Fund Border Wall, Sign Spending Bill #StateOfEmergency #SpendingBill",fake
188,"Feb 14, 2019",JUST IN: McCabe Tells CBS That Rosenstein Offered to Wear a Wire With Trump Several Times…Discussed Soft Coup Under 25th Amendment [Video],fake
189,"Feb 13, 2019","UNREAL! EIGHT-TERM REP SAYS: “Blah, Blah, Blah” To Facts That Minorities Are Doing Well [Video] #GwenMoore",fake
190,"Feb 13, 2019",JUST IN: ANTI-SEMITIC REP ILHAN OMAR Rudely Questions Elliott Abrams…Repeatedly Calls Him “Mr. Adams” [Video],fake
191,"Feb 13, 2019",‘BUILD THE WALL’ Jersey At NBA Game “Sparks Outrage” From Snowflakes,fake
192,"Feb 12, 2019",Identity Of Woman Who ASSAULTED Kellyanne Conway Revealed: “Alinsky-Style Community Organizer”…Married To Wealthy CEO,fake
193,"Feb 12, 2019",ILHAN OMAR DIGS HERSELF A BIGGER HOLE: Retweets Comment Denouncing Pelosi,fake
194,"Feb 11, 2019",SPOT ON! JAMES WOODS Calls Out “Flat-Out Liar” Liz Warren With One Awesome Tweet,fake
195,"Feb 11, 2019",GRAMMY ARTIST CLAPS BACK After ‘Build The Wall’ Dress Triggers Anti-Trump Snowflakes [Video],fake
196,"Feb 10, 2019",MUST WIN COUNTY For Trump In 2020 Just Did Something Spectacular,fake
197,"Feb 10, 2019",DEMOCRATS Have New Way To ELIMINATE Dingbat Socialist Dem Rep Ocasio-Cortez,fake
198,"Feb 10, 2019",AWKWARD: Liz Warren Supporters Standing Behind Her Leave Early [Video],fake
199,"Feb 10, 2019",JUST IN: FEDERAL JUDGE DENIES DEM Effort To Block Citizenship Question From 2020 Census,fake
200,"Feb 10, 2019",ROB LOWE Deletes Liz Warren Joke After Hypocrites On The Left Go Ballistic #RobLowe #Hypocrites #LiberalLogic,fake
201,"Feb 9, 2019","Grocery Store Owner Defends Anti-Illegal Alien Message In Coupon Mailer: “Heaven has a wall, a gate and a strict immigration…”",fake
202,"Feb 9, 2019",JUST IN: PELOSI SLAMMED For Repeating SOTU Clap With Katy Perry After Claiming It Was Sincere [Video],fake
203,"Feb 9, 2019",TRUMP CALLS OUT DEM ADAM SCHIFF For Undisclosed Meeting With Glenn Simpson [Video],fake
204,"Feb 8, 2019",PRICELESS! WHITAKER MOCKS NADLER Before Recess Of Hearing: “I get 5 minutes for lunch?” [Video],fake
205,"Feb 8, 2019",WATCH: “SPARTACUS” BOOKER Says Adopting “New Green Deal” Is Same As Defeating Nazis…Putting A Man On The Moon,fake
206,"Feb 8, 2019",RUDE! Sheila Jackson-Lee Bullies Whitaker But Fails Miserably [Video] #Whitaker #JacksonLee,fake
207,"Feb 8, 2019",JUST IN: WHITAKER Comes Out Strong Against Dem. Nadler: “Your 5 minutes is up” [Video] #Whitaker,fake
208,"Feb 7, 2019",BREAKING: After 2-YR WITCH HUNT….Senate Intel Chair Finds NO TRUMP COLLUSION WITH RUSSIA,fake
209,"Feb 7, 2019",OOPS! JOY BEHAR Caught Laughing On The View About Dressing As A Black Woman For Halloween [VIDEO],fake
210,"Feb 7, 2019",WATCH: ISLAMIC LAWMAKER Ilhan Omar Goes After Covington Catholic Boys…AGAIN,fake
