date,label,statement
2018-11-01,real,Who’s to Blame for American Political Violence?
2019-04-06,real,"Bonded by Service, Freshman Veteran Democrats Are an Occasional Thorn in Their Party’s Side"
2019-02-22,real,"John Legend on Kanye West, Making Political Music and Morality in Art"
2018-11-11,real,Should the Press Boycott Trump? Political Strategists Weigh In
2018-10-19,real,On Politics: Trump Says He Believes Khashoggi Is Dead
2019-04-16,real,Aung San Suu Kyi Has a New Target: Political Satire
2018-11-01,real,13 Political Secrets People Kept From Family and Friends. What’s Yours? 
2019-05-01,real,"'Long Shot' Pairs Charlize Theron, Seth Rogen in Political Romance"
2018-10-04,real,On Politics With Lisa Lerer: Reality Check
2018-10-30,real,On Politics: Pittsburgh Massacre Happened Amid Rise in Anti-Semitism
2018-10-11,real,"Daniel Patrick Moynihan, the Anti-Trump of American Politics"
2019-01-17,real,The Fight Over Men Is Shaping Our Political Future
2019-02-21,real,A Green New Deal Is Technologically Possible. Its Political Prospects Are Another Question.
2018-10-02,real,On Politics With Lisa Lerer: War of the Sexes
2019-04-06,real,"Bonded by Service, Freshman Veteran Democrats Are an Occasional Thorn in Their Party’s Side"
2019-03-25,real,Iraq Ferry Accident Sets Off Political Upheaval in Mosul
2018-10-04,real,On Politics With Lisa Lerer: Reality Check
2018-12-05,real,When Does Political Art Cross the Line?
2018-09-28,real,"On Politics: An Emotional Hearing, With the Supreme Court at Stake"
2019-03-28,real,How the Battle Over Israel and Anti-Semitism Is Fracturing American Politics
2018-09-25,real,On Politics: Kavanaugh Says He Won’t Be ‘Intimidated’
2018-10-17,real,On Politics: Khashoggi Case Jeopardizes Trump’s Plans to Punish Iran
2018-08-16,real,Trump and the Politics of Arf
2018-09-26,real,On Politics: Trump Accuses Democrats of a ‘Con Game’
2019-03-28,real,How the Battle Over Israel and Anti-Semitism Is Fracturing American Politics
2018-09-25,real,On Politics: Kavanaugh Says He Won’t Be ‘Intimidated’
2018-09-19,real,On Politics With Lisa Lerer: A Moment for Women
2018-10-17,real,On Politics: Khashoggi Case Jeopardizes Trump’s Plans to Punish Iran
2018-10-10,real,Should Celebrities Weigh In on Politics?
2018-10-04,real,On Politics: Republicans Condemn Trump’s Mockery of Kavanaugh Accuser
2018-09-10,real,We’re Trying Something New. This Is ‘On Politics.’
2018-10-30,real,So You Have to Talk to Your Parents About Politics ...
2018-09-10,real,We’re Trying Something New. This Is ‘On Politics.’
2018-10-25,real,How 1994 Gave Us Today’s Politics
2018-09-11,real,On Politics: A Plan to Roll Back Methane Rules
2018-10-04,real,On Politics: Republicans Condemn Trump’s Mockery of Kavanaugh Accuser
2019-01-25,real,Border Wall Is Out of Sync With the Southwest’s Changing Politics
2018-10-19,real,The Orthodox Schism and the Spiritual Limits of Politics
2018-10-12,real,On Politics: Trump’s Fed Tirade Could Have Lasting Consequences
2018-10-02,real,On Politics: ‘Comprehensive’ Kavanaugh Inquiry Must End by Friday
2019-01-24,real,"‘Never Look Away’ Review: A Lush Adventure in Sex, Politics and Painting"
2018-09-13,real,On Politics: F.D.A. Cracks Down on Vape Makers
2018-10-25,real,"On Politics: Explosive Devices Sent to Hillary Clinton, Barack Obama and CNN"
2019-01-11,real,"Gillibrand Hires New Aides, Signaling Presidential Run Is Imminent"
2018-10-28,real,Sri Lanka’s Political Crisis Turns Deadly
2018-09-20,real,On Politics With Lisa Lerer: Her Story? Or Theirs?
2018-10-05,real,On Politics With Lisa Lerer: Inside Murkowski’s Vote on Kavanaugh
2018-10-15,real,On Politics With Lisa Lerer: Doing What She Can
2019-01-03,real,"Learning With: ‘In Newly Divided Government, Who Will Control the Political Agenda?’"
2019-02-28,real,"Ed Buck, Political Activist, Is Accused of ‘Predatory Sexual Encounters’ in Wrongful-Death Lawsuit"
2018-10-11,real,"Goodbye, Political Spin, Hello Blatant Lies"
2019-04-11,real,"German State Drops Investigation Into Political Artist, but Outcry Keeps Growing"
2018-10-11,real,"Goodbye, Political Spin, Hello Blatant Lies"
2018-09-07,real,The Violence at the Heart of Our Politics
2018-10-05,real,On Politics With Lisa Lerer: Inside Murkowski’s Vote on Kavanaugh
2019-02-27,real,How the Mind-Body Connection Is Rewiring Our Politics
2019-02-28,real,"Ed Buck, Political Activist, Is Accused of ‘Predatory Sexual Encounters’ in Wrongful-Death Lawsuit"
2018-09-27,real,On Politics: Trump Calls Kavanaugh Accusations ‘All False’
2018-10-31,real,Political Mailer Prompts Charges of Anti-Semitism
2018-10-10,real,On Politics With Lisa Lerer: They’re Running? Not Yet. (But Yes.)
2018-11-28,real,On Politics: Hyde-Smith Secures Her Mississippi Senate Seat in Win Over Espy
2018-08-01,real,Need a Politics Cleanse? Go Ahead and Treat Yourself.
2018-10-10,real,On Politics With Lisa Lerer: They’re Running? Not Yet. (But Yes.)
2018-09-03,real,Mike Capuano Is in the Political Fight of His Life 
2018-08-18,real,The Biggest Stories in American Politics This Week
2018-10-18,real,On Politics: Pompeo’s Handling of the Khashoggi Case Casts Him in a New Light
2019-04-30,real,Oprah 'Quietly Figuring Out' How to Wield Her Political Clout in 2020
2018-09-13,real,On Politics With Lisa Lerer: Florence and Maria
2018-10-05,real,On Politics: 2 Key Republicans Signal Satisfaction With Kavanaugh Inquiry
2019-02-23,real,Russian Spy or Hustling Political Operative? The Enigmatic Figure at the Heart of Mueller’s Inquiry
2018-09-18,real,On Politics With Lisa Lerer: Kavanaugh’s Midterm Effect
2018-06-27,real,Janus Decision Reins in Unions’ Political Power
2018-10-01,real,On Politics With Lisa Lerer: Jeff Flake’s #Me Moment
2019-04-02,real,‘It Just Went Poof’: The Strange Aftermath of Virginia’s Cascade of Political Scandals
2018-06-27,real,Janus Decision Reins in Unions’ Political Power
2018-09-27,real,On Politics With Lisa Lerer: He Litigated. She Persuaded.
2018-10-24,real,On Politics: Justice O’Connor Announces Battle With Dementia and Recusal From Public Life
2018-10-12,real,Israelis and Palestinians: How U.S. Politics Has Evolved
2018-09-14,real,On Politics: Paul Manafort Is Said to Be Near a Plea Deal
2018-10-09,real,On Politics: Trump Campaign Aide Sought to Create Fake Online Profiles
2018-10-28,real,Religion and Right-Wing Politics: How Evangelicals Reshaped Elections
2019-02-07,real,Virginia Political Crisis Grows for Democrats and Republicans
2018-09-21,real,On Politics With Lisa Lerer: ‘I Found My Voice’
2018-01-08,real,From ‘Fire and Fury’ to Political Firestorm
2018-12-05,real,"In Funeral of Pomp and Pageantry, Nation Bids Farewell to George Bush"
2019-01-02,real,"In Newly Divided Government, Who Will Control the Political Agenda?"
2019-01-12,real,Kamala Harris Is Hard to Define Politically. Maybe That’s the Point.
2018-07-31,real,The Politics of ‘White Threat’
2019-02-25,real,Han Kang’s Novel Is a Politically Tinged Eulogy for a Dead Sister
2018-11-30,real,Bernie Sanders Steps Out With His Favored Political Partner: His Wife
2018-08-22,real,A Day of Political and Legal Drama
2018-11-10,real,Republicans Dominate State Politics. But Democrats Made a Dent This Year.
2018-08-22,real,A Day of Political and Legal Drama
2018-09-26,real,"On Politics With Lisa Lerer: Trump, Kavanaugh and the ‘Con Job’"
